dataset,filename,lleboul,mtorte
NEAMS,2020_02_27_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_27_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_28_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_29_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_01_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_01_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_02_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_02_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_03_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_03_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_04_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_04_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_05_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_06_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_06_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_06_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_06_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_07_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_07_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_08_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_08_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_08_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_09_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_09_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_09_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_10_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_11_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_11_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_11_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_11_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_11_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_12_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_12_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_12_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_14_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_14_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_14_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_15_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_16_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_18_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_18_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_19_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_19_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_20_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_20_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_20_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_22_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_23_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_24_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_25_01_00_00_000000+0000.wav,FINISHED,CREATED
