dataset,filename,annotator1,annotator2
dataset1,2022_07_07T10_16_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_19_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_20_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_21_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_22_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_23_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_24_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_25_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_26_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_27_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_28_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_29_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_30_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_31_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_32_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_33_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_34_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_35_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_36_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_37_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_38_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_39_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_40_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_41_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_42_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_43_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_44_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_44_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_44_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_44_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_44_43.wav,FINISHED,STARTED
dataset1,2022_07_07T10_44_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_45_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_45_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_45_23.wav,FINISHED,FINISHED
