dataset,filename,lleboul,mtorte
MADW,2020_02_08_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_09_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_09_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_09_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_10_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_10_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_10_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_10_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_10_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_11_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_12_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_12_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_12_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_12_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_12_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_13_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_13_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_14_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_14_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_15_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_16_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_16_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_16_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_16_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_16_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_17_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_17_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_17_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_18_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_19_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_19_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_19_10_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_20_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_20_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_20_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_21_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_21_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_21_21_00_00_000000+0000.wav,FINISHED,CREATED
